_file,sched,workload,n,seed,reconcile,jain,p50,p99,starvation,gap_ratio,thm1
fcfs_skewed_n10_c5000,fcfs,skewed,10,42,True,0.161751,1.399685,8.882086,0,242.3844,False
fcfs_skewed_n2_c5000,fcfs,skewed,2,42,True,0.530931,1.369556,9.062737,0,1211.315,False
fcfs_skewed_n50_c5000,fcfs,skewed,50,42,True,0.120883,1.368498,8.901826,0,48.5189,False
rr_skewed_n10_c5000,rr,skewed,10,42,True,0.161751,1.399685,8.882086,1610,242.3844,False
rr_skewed_n2_c5000,rr,skewed,2,42,True,0.530931,1.369556,9.062737,834,1211.315,False
rr_skewed_n50_c5000,rr,skewed,50,42,True,0.120883,1.368498,8.901826,1700,48.5189,False
rvt_adversarial_n10_c5000,rvt,adversarial,10,42,True,0.999778,1.404175,8.971998,163,0.6666,True
rvt_heavytail_n10_c5000,rvt,heavytail,10,42,True,0.999623,1.374932,8.873246,9,7.126,False
rvt_mixed_n10_c2000,rvt,mixed,10,42,True,0.99997,1.371871,8.643451,133,0.7499,True
rvt_skewed_n10_c5000,rvt,skewed,10,42,True,0.999778,1.404175,8.971998,163,0.6666,True
rvt_skewed_n10_norecon,rvt,skewed,10,42,False,0.999752,1.376416,8.971998,158,1.0,True
rvt_skewed_n10_seed123,rvt,skewed,10,123,True,0.999776,1.372228,9.063168,163,0.6666,True
rvt_skewed_n10_seed2024,rvt,skewed,10,2024,True,0.999788,1.412731,8.819088,163,0.6666,True
rvt_skewed_n10_seed42,rvt,skewed,10,42,True,0.999778,1.404175,8.971998,163,0.6666,True
rvt_skewed_n10_seed7777,rvt,skewed,10,7777,True,0.999737,1.407507,9.324425,162,0.6666,True
rvt_skewed_n10_seed999,rvt,skewed,10,999,True,0.999747,1.366865,8.660049,162,0.6666,True
rvt_skewed_n2_c5000,rvt,skewed,2,42,True,0.999998,1.393693,9.125371,348,0.6666,True
rvt_skewed_n50_c5000,rvt,skewed,50,42,True,0.998619,1.386718,8.985227,80,0.6666,True
rvt_tworesource_n10_c2000,rvt,tworesource,10,42,True,0.998092,2.18256,22.068128,9,6.7103,False
rvt_uniform_n10_c2000,rvt,uniform,10,42,True,0.998092,1.347372,8.755858,9,6.7103,False
